136613456,-512820,-739737,87427481
-53697593,55277802,49040699,86116187
3220880,75515511,53337027,50746552
88414078,70781701,66277674,98943677
-17988814,83735639,57607927,84446784
7905695,86080636,69893638,73183217
-106237978,86340882,82036549,85944614
-39951484,51796765,70217077,87079969
-41339171,48697955,55193194,73297553
-42571382,53083825,53317409,74087026
-7368751,52027496,-9560976,95138965
-8239116,41812660,62596194,54485758
-1137951,49037154,75388024,52951810
7650881,79141366,92778865,89383763
-17148778,67167319,69069673,78500152
-34682895,65463074,55433727,80694128
92864435,72243385,52889446,91467469
23342790,57278342,66486606,96631618
16097469,22492567,11010000,76930041
-27239715,74048890,47983162,79486831
48014242,79716366,40015768,62251861
511676,64398402,63621216,52622716
-29486239,66238746,61923874,82763569
92097957,57353083,58524935,81446016
-2615864,64900611,68273820,60905066
17304995,87864295,58127670,53801410
36460810,70793722,116450849,97175553
91303570,59210855,59663955,83648530
17400055,51714900,106525287,65954578
-9201950,68270611,75924360,78511311
10184185,63093052,93307967,71331241
24739666,43259195,5573675,52957566
-18267592,52724555,76111483,72218039
-35598801,54737022,27433735,89083529
35813819,73515444,94558754,77358361
6642272,22056475,91067625,87832335
17645774,89603262,67321149,64393217
-10216980,27634811,38770566,70341591
12799318,81249393,71992414,65556938
-10218046,74437078,62070349,71839923
-1309123,20674953,59788059,65885225
-27217791,66526827,53078642,71937695
-34737368,44315647,75994929,91879642
30808903,39024070,99557972,65161437
18233335,72395211,90831029,70107346
37186749,-678419,57742780,69426693
-9615179,80576697,64086230,79392664
33935621,102484176,52277559,62167524
21730454,116532754,59523052,79439730
-44299553,51849314,52674431,73937932
98820726,52369354,56304096,80964285
-14670863,53307196,63286058,56378495
21141579,52692533,60648771,77839132
106030705,57863782,38674931,99756568
3660762,56362269,113500773,91316727
-407093,36114871,62900059,52655349
17300250,90851621,82759279,81425029
3552610,79637006,46529196,55736575
19340107,84837235,62352207,52963786
8521013,89819722,24371259,83109002
14563407,28673587,78383971,60610219
105274857,48490223,59505360,90108685
6522669,68013196,92958454,79563377
61441811,62255240,63607848,60775173
-30662880,72201886,57781685,85760834
-5704121,74191612,91679671,96690023
22440794,115302243,29587291,89455675
16846226,85850758,26219592,68966703
-11181912,74609397,43701422,68271328
112019147,48094141,55257089,93000920
-58029664,63702221,52791218,99637517
56546279,54927537,104557578,89501416
13690470,51265122,54792423,53548975
-20863525,78114651,44421611,80738144
20071309,136046599,55636529,96726219
-9825817,54458897,71973514,61373140
-13643977,45813902,94182312,87475383
4214048,57552549,55230473,97407755
-44465852,38322072,54656647,86263523
-8532222,52266115,71351598,57264679
15789835,78397136,91588786,79310551
87644233,71738261,52393733,85246435
24700943,90988926,103171122,94573621
-16261249,63121025,87229161,91725871
-52294570,67135761,48053370,97558456
18918374,81332072,97803514,85331838
11760283,82388891,26779326,70030661
19928626,82449711,96833465,84469124
-18348975,19999142,52648068,76460901
-12075601,71251550,85024678,93466308
80062151,62500897,78775775,94808908
12337661,103647294,81418622,97842757
-11115387,60112851,66531714,62874491
16906477,63764749,85558216,57530991
-4672303,54855285,1301903,84407059
-37982464,58456898,68225299,89779132
-17681001,71939994,60038525,74774035
-11837172,58467855,79274314,74693725
29729949,7390010,64977794,61136429
-12679395,87224461,58161931,83180457
-11559100,72144044,77817800,86635361
-2084469,25684278,55681143,57544326
20590016,129914590,49426051,86080032
-7571416,69794846,69085384,71566033
-34145880,48469543,51820255,62959690
-8692081,31985652,52581756,54751347
-24455978,69065733,52902609,71539034
-2667941,59922398,71227376,58932198
-38020475,72881338,61644325,97660532
-21527600,53755812,51653194,52050984
-8830611,33006975,78898650,80185902
19025250,113913931,63618165,83621311
8387089,77230233,57248610,51206312
9535513,118434510,37136580,97943806
78992433,58822717,31347868,81004338
-16906193,77442482,52709412,72172536
22311017,63448797,51701106,94242941
43179406,2818296,30763106,84483777
-363630,57933199,98730777,82142085
-3421442,71654138,81584493,81774527
105294101,47765605,48049117,84365008
-14236037,92920841,48040781,85297524
5696945,87936599,71179435,78533668
70714071,41126802,64803849,68209814
-18725349,54598292,52699640,51138183
59897823,71653281,71202033,76223304
48123775,102241419,73882598,97717918
-27257912,59427348,52360090,64159728
7347141,78617861,96938400,93323519
98970812,42594863,66538549,96733304
60136017,76634280,74781184,85021510
-38514792,65847495,52025409,81502116
-5508508,4887248,43864104,83287138
21727987,54693625,95057154,53137390
-15479704,40894383,53779209,53827666
-50001012,42594012,56389944,89260340
-49970116,64164073,53317682,92566258
-56357341,55323528,59446041,96241383
625968,53683329,98614903,76786891
21482773,117944535,70699492,92275780
16203712,73330825,69917915,52159463
13906226,70337776,30608175,52004893
-21655059,68530571,79036384,94336614
-6379112,70074314,96974691,98542673
37257281,88232345,55974220,54934223
-153042,61570334,64745296,51583144
75744358,74770786,74235757,98220949
2593526,12576425,76209878,86502916
-3213601,79186838,80823018,88337919
-9431288,52885294,66308318,53739421
39457172,77981561,77781961,68690851
3658726,45027232,78570696,55347772
19540854,59560050,33221913,66437344
-23991955,53819675,65495637,68421679
-15925338,62003166,71681923,74724861
179979,95055064,72345095,92334745
32084825,113714994,57462206,76732047
-79456713,-30995940,73253681,71108738
-5085269,56556449,63274512,50030649
-1823099,53617693,74353439,54908645
-21582671,87360226,64824893,98882268
-54047120,52572271,45012396,87788501
-621964,40254302,67623764,53454465
10705962,52178757,-10564055,78218262
-27052117,72974854,68996532,94137885
-5333720,61326896,75858050,67633053
-442860,-7927774,60719749,94553540
20190232,59561903,101548027,66034633
-7907411,40629427,68521654,61262635
-9455107,66611005,94728621,95909233
22122168,62372400,119686289,85051023
-16418814,91187751,60788730,93509810
-12210203,71963130,19080036,91275101
-16069946,54585553,55218935,50988886
73589783,36919962,51760461,62248915
10988236,47525791,7585386,60430836
10516253,63819008,75162627,53580091
54978561,77777004,81843099,88068740
843965,59034530,26718598,57653476
8390445,51933284,106893232,75550828
55468357,41898786,6292104,82163240
-15657432,59791539,54996025,55559386
21925705,56064114,98432334,57685472
2045205,54926092,91406478,69401804
18964578,82009106,68170256,56329266
-5020873,58135455,83138917,71409692
11206282,18758794,90297569,85795593
60429823,65420118,62455940,61775922
-50071054,65142864,56916609,97245137
37522973,119514287,68154460,98661779
-24546116,79951244,52341069,81952965
-42895143,51426102,49103721,71398899
19847811,70965352,88276453,64508398
31969885,74676586,119451667,99568484
43133639,79493715,70091589,66189023
3536597,70013464,59700142,51291540
-43456481,62212963,55178319,85962366
66908155,61377553,55147564,56903339
-6338837,64186892,67392177,63032325
24582754,12428156,39119902,50399652
19622738,107750729,55849974,69092525
-50422280,58990076,62168244,96695006
58134510,61311825,96239969,89156504
-30966037,57564421,54587595,68232489
12569803,83417760,58547639,54510046
16028817,91085624,85099394,85270691
26948233,79274928,118354187,98047375
-52310680,47522666,64367435,94618457
-6416427,79465208,59490450,70486528
20092186,68488461,91337971,64848774
-15142198,42300705,54605738,52910257
-27837357,69166421,45527549,77657747
-40369484,73666973,51836487,90987378
85019354,56875805,38052709,78379725
-4826865,73385493,74154124,77481047
-44327050,62980445,57928726,90350601
2268051,71674062,18320627,77266756
7560942,23918555,95582539,89566155
-40522661,58387981,55190926,79216025
17493703,92481489,21602524,79566649
-549853,30548349,59679581,55144150
-11540623,61439486,75747954,73842446
-27425143,66943956,51613022,71096670
7492358,52336684,59482404,62591245
8199261,52115157,61979910,52924169
-5227038,75473558,53223397,59038494
69304179,60217316,90678830,93670829
-27825322,58595174,52943775,64478650
-3930520,44822324,83076659,67647944
-15669371,56863526,61131713,58778995
