5528,2008,1661,-99,-78,-62,-17,-2,-2
3088,2748,-1039,-103,-136,94,-5,0,-4
628,-1052,161,20,33,-92,-5,2,8
-522,1458,-79,88,23,4,-6,-9,0
2138,438,2401,-108,53,-57,0,-7,-6
-572,1448,-1619,80,118,39,-5,-18,4
-85,-240,1162,-34,24,-66,5,-1,-1
-475,-1125,-128,112,51,-36,-10,3,6
865,1539,-5703,-127,-98,100,7,3,10
-210,1439,5022,7,-16,-95,0,-3,-8
-1835,-2261,3647,20,-11,-157,4,8,1
-4710,-286,-603,57,105,0,10,-7,2
-1410,-1611,-778,-49,15,85,8,4,-4
-1810,39,47,32,-116,0,3,9,0
-3710,789,-2328,30,23,69,9,-4,2
1615,839,1622,129,21,-37,-15,-4,-2
940,864,-578,-39,-110,103,0,6,-6
1140,-2011,8972,-203,122,-110,12,-3,-19
-2644,-5170,2939,-31,-14,-29,6,9,-3
926,-3035,-876,83,-39,62,-6,7,-2
-2049,-515,1504,-30,-39,30,5,3,-4
-544,-6920,-421,-37,-36,-59,3,13,4
-6669,-2300,1189,-42,12,3,13,3,-2
7611,-1600,-5111,-36,82,-15,-10,-2,9
2921,-7095,7174,-82,41,-204,0,9,0
-1594,10152,2479,81,-35,-58,-2,-16,-1
-868,1605,-1217,127,37,37,-6,-5,0
-5554,2496,796,-54,95,146,13,-10,-10
7019,1671,136,-10,-50,30,-12,0,-2
-9443,-8061,-7152,33,37,71,11,9,6
5529,5733,-11161,-10,-14,40,-7,-7,13
3629,-6123,752,118,-14,19,-11,9,-2
3177,579,89,91,-34,-55,-11,1,3
8655,-4470,-6907,-41,153,106,-13,-1,6
1098,-2391,3455,1,-12,-72,-2,5,-2
702,5925,2597,-4,76,-97,-1,-15,1
2414,-8256,-2753,-37,103,11,-2,8,4
-2312,-10398,-2991,-3,-9,-52,4,18,8
-4216,-3360,5305,88,29,-16,2,4,-8
7208,-6182,6733,-38,42,-23,-10,8,-10
5780,7163,5628,-101,-18,27,-4,-11,-11
5610,-2969,-475,114,35,-91,-16,3,6
629,6874,-4487,-72,8,62,3,-12,4
-316,-647,2784,18,-14,-12,0,5,-15
-2611,2890,-2229,155,27,86,-1,-20,4
-4672,-935,-1725,127,-17,-56,14,7,16
-62,74,92,5,-4,-21,0,0,2
-1553,-1382,519,74,100,-74,5,0,5
148,-906,855,80,96,-38,-12,-4,-3
-636,-1725,106,76,102,83,-4,3,-12
1569,956,358,-104,-67,5,-1,0,-4
288,144,-342,-65,-9,55,6,0,-4
148,-682,1030,5,-55,-73,-2,14,0
1219,2167,-1343,-19,-116,74,-9,-5,3
2297,4,-2120,-171,31,152,1,-4,0
-944,-1200,1254,38,12,-29,4,10,-8
1467,-1738,-397,91,96,27,-11,-2,-1
-4474,2032,695,36,-22,-42,10,-4,1
284,-3454,-4063,42,108,6,-4,2,11
1740,-1296,149,-41,-29,-21,-2,6,1
-3265,4840,-514,57,32,18,5,-16,0
